	D1	D10	D11	D21	D22	D3D	D3K	D4	D5	D6	D7	D8	D9
OG4702	2	1	2	1	2	2	2	2	2	1	1	2	1
OG4703	2	2	2	1	2	2	2	2	2	0	2	1	1
OG4704	2	2	1	1	2	2	2	1	1	2	2	1	2
OG4705	2	2	1	1	3	1	2	2	1	2	2	1	1
OG4706	1	2	2	2	1	2	2	2	2	1	1	2	1
OG4707	2	2	2	1	2	1	2	2	1	1	2	1	2
OG4708	2	1	2	2	2	2	1	1	1	2	2	1	2
OG4709	2	1	2	2	2	1	1	2	2	2	1	1	2
OG4710	2	2	2	2	1	2	2	0	2	1	1	2	2
OG4711	2	1	2	1	2	2	2	2	2	1	1	2	1
OG4712	2	1	2	2	0	4	3	1	0	2	2	0	2
OG4713	2	2	2	3	1	2	3	1	1	1	1	1	1
OG4714	2	2	1	2	2	2	2	2	1	1	2	1	1
OG4715	2	2	3	0	2	1	1	2	1	2	1	2	2
OG4716	2	2	2	2	1	2	2	2	2	1	2	1	0
OG4717	2	2	2	2	1	1	0	2	2	2	2	2	1
OG4718	2	4	3	0	2	2	2	1	1	1	1	1	1
OG4719	1	3	3	0	2	2	1	1	3	1	2	1	1
OG4720	2	2	2	2	1	1	1	2	2	1	2	1	2
OG4721	2	2	2	0	2	2	2	2	2	1	2	1	1
OG4722	2	2	2	1	2	2	2	2	1	1	1	1	2
OG4723	2	2	2	2	2	2	2	1	0	2	1	2	1
OG4724	2	2	2	2	2	2	1	2	1	0	1	2	2
OG4725	2	2	2	2	2	1	2	1	2	0	1	2	2
OG4726	2	2	2	0	1	2	2	2	1	2	2	2	1
OG4727	3	2	2	1	1	2	2	2	0	1	2	2	1
OG4728	2	1	2	2	1	2	1	1	2	1	2	2	2
OG4729	2	1	2	1	1	2	2	2	1	2	2	2	1
OG4730	2	2	2	1	2	2	1	2	1	0	2	2	2
OG4731	2	2	2	0	1	1	2	2	2	2	1	2	2
OG4732	2	2	1	2	2	1	1	1	2	3	1	1	2
OG4733	2	1	2	2	1	2	2	1	2	1	1	2	2
OG4734	2	2	2	1	2	2	2	2	0	1	2	2	1
OG4735	2	1	2	1	2	1	2	2	1	2	2	1	2
OG4736	2	2	2	2	1	2	2	1	0	1	2	2	2
OG4737	2	9	3	0	1	0	1	0	0	2	0	2	1
OG4738	2	1	2	0	2	1	3	3	2	0	1	2	2
OG4739	2	3	1	1	2	2	2	0	1	3	2	1	1
OG4740	2	2	2	2	1	2	2	2	1	2	1	2	0
OG4741	1	2	1	1	2	3	2	2	2	1	1	2	1
OG4742	2	1	2	2	1	1	2	2	3	1	1	2	1
OG4743	2	2	2	0	2	2	2	1	2	0	2	2	2
OG4744	2	1	2	1	1	2	2	2	2	1	2	1	2
OG4745	2	2	2	1	1	1	2	2	1	1	2	2	2
OG4746	1	2	2	2	1	1	1	2	2	1	2	2	2
OG4747	2	1	2	2	1	2	2	1	1	2	1	2	2
OG4748	2	3	2	2	4	2	2	0	0	1	0	1	2
OG4749	2	2	2	1	1	2	2	2	1	0	2	2	2
OG4750	2	2	1	1	2	2	2	1	2	2	1	2	1
OG4751	1	3	2	2	2	1	1	2	1	1	2	1	2
OG4752	2	2	2	1	2	2	1	2	1	1	2	1	2
OG4753	2	2	2	1	1	2	2	1	2	1	1	2	2
OG4754	3	3	2	1	3	1	1	3	0	2	0	1	1
OG4755	2	1	1	0	3	3	2	3	0	2	1	2	1
OG4756	2	2	1	1	1	1	2	2	2	2	2	2	1
OG4757	1	3	2	2	0	1	2	2	1	1	2	2	2
OG4758	2	2	2	1	1	2	2	1	2	1	2	2	1
OG4759	2	1	3	1	1	2	2	1	1	1	2	3	1
OG4760	2	2	1	1	1	2	2	2	1	2	2	2	1
OG4761	2	2	2	0	2	2	2	2	2	0	1	2	2
OG4762	2	2	2	1	1	2	2	2	1	1	2	2	1
OG4763	2	2	2	2	1	1	2	2	1	1	2	1	2
OG4764	2	2	2	2	2	2	1	1	2	1	1	1	2
OG4765	2	1	2	1	1	2	2	1	2	2	2	2	1
OG4766	2	2	2	0	1	2	2	2	2	1	2	1	2
OG4767	2	2	2	2	1	2	2	2	1	0	2	1	2
OG4768	2	1	1	2	3	2	2	0	2	1	2	2	1
OG4769	2	2	2	1	1	2	2	2	1	1	2	1	2
OG4770	1	2	2	1	2	2	2	1	1	2	1	2	2
OG4771	2	1	2	2	2	2	2	1	1	1	1	2	2
OG4772	2	2	2	2	2	1	2	1	1	2	2	1	1
OG4773	2	2	2	2	2	2	2	1	1	1	1	2	1
OG4774	2	2	2	1	2	2	2	1	2	1	1	1	2
OG4775	3	2	0	0	1	2	1	1	1	3	2	3	2
OG4776	1	2	2	2	1	2	2	1	2	1	2	2	1
OG4777	2	2	2	2	0	2	2	1	0	2	2	2	2
OG4778	1	2	2	2	1	2	2	1	2	1	2	2	1
OG4779	2	2	2	1	2	1	1	2	2	1	1	2	2
OG4780	2	3	1	2	3	1	1	2	1	0	1	3	1
OG4781	3	2	0	0	1	4	3	0	0	1	1	4	2
OG4782	2	2	1	2	2	2	1	2	0	1	2	2	2
OG4783	2	2	1	2	2	1	2	2	1	2	2	1	1
OG4784	2	4	1	0	2	2	2	2	2	2	0	2	0
OG4785	2	2	1	2	1	2	2	1	2	0	2	2	2
OG4786	2	2	2	2	1	1	2	2	2	1	1	1	2
OG4787	2	2	2	1	1	2	1	1	1	2	2	2	2
OG4788	2	2	2	2	1	2	2	1	2	2	1	0	2
OG4789	2	2	2	1	2	2	2	2	2	0	1	2	1
OG4790	1	2	3	1	1	2	2	2	1	2	1	1	2
OG4791	2	1	2	1	1	2	2	2	1	1	2	2	2
OG4792	1	2	2	2	1	2	2	2	2	0	2	1	2
OG4793	2	2	2	1	2	2	2	2	1	0	2	2	1
OG4794	2	2	2	1	1	2	2	1	1	2	2	1	2
OG4795	2	1	2	2	1	1	2	2	2	0	2	2	2
OG4796	2	0	1	1	2	1	2	0	3	1	3	3	2
OG4797	2	1	3	0	1	3	2	4	0	3	1	1	0
OG4798	1	2	3	1	2	1	2	2	2	1	1	2	1
OG4799	2	1	1	2	2	2	3	1	1	1	2	2	1
OG4800	2	2	2	1	2	2	2	0	2	1	1	2	2
OG4801	2	2	2	2	1	2	2	2	1	1	0	2	2
OG4802	2	2	2	0	2	1	2	2	2	2	1	1	2
OG4803	2	1	2	1	2	2	2	1	2	2	1	2	1
OG4804	2	2	2	2	0	4	2	0	1	1	1	2	2
OG4805	1	2	3	2	1	2	1	2	1	1	0	4	1
OG4806	2	2	2	1	1	2	2	2	1	1	2	1	2
OG4807	1	2	2	1	1	1	2	2	2	2	2	1	2
OG4808	2	2	1	1	2	1	1	3	0	1	3	2	2
OG4809	2	2	2	0	2	1	1	2	2	1	2	2	2
OG4810	2	2	2	2	2	2	2	1	1	1	1	1	2
OG4811	2	2	2	0	2	2	2	1	2	1	1	2	2
OG4812	2	2	2	2	2	2	2	2	1	0	0	2	2
OG4813	2	2	2	0	2	2	1	3	0	1	3	2	1
OG4814	2	2	2	2	1	2	2	1	1	1	1	2	2
OG4815	2	1	2	2	1	1	1	2	1	2	2	2	2
OG4816	2	2	2	1	2	2	2	2	1	1	1	1	2
OG4817	1	1	2	1	2	2	2	1	2	2	2	0	3
OG4818	1	4	4	1	2	1	1	1	1	1	2	1	1
OG4819	2	2	2	0	2	2	2	1	1	2	2	1	2
OG4820	2	1	2	1	2	2	2	1	2	1	2	2	1
OG4821	2	2	2	2	1	2	2	2	0	1	2	2	1
OG4822	2	2	2	1	2	2	1	2	2	1	2	1	1
OG4823	2	2	2	1	2	2	2	1	2	1	2	1	1
OG4824	2	2	2	2	1	2	2	1	1	1	2	2	1
OG4825	2	1	2	2	1	2	2	2	1	1	2	2	1
OG4826	2	2	2	2	1	2	2	2	0	1	1	2	2
OG4827	2	2	2	1	1	2	2	2	1	1	1	2	2
OG4828	2	3	1	1	2	2	1	1	0	1	2	3	2
OG4829	2	2	2	0	2	2	2	1	2	1	2	2	1
OG4830	2	2	1	2	3	1	1	2	1	1	1	2	2
OG4831	1	2	2	1	2	2	2	2	1	2	2	1	1
OG4832	2	2	2	0	2	2	1	2	1	2	2	2	1
OG4833	2	2	2	1	1	2	1	2	2	2	1	2	1
OG4834	1	5	1	2	1	1	2	0	0	4	1	1	2
OG4835	1	1	2	1	1	1	1	2	3	2	3	1	2
OG4836	2	2	2	2	1	2	2	0	0	2	2	2	2
OG4837	2	2	3	1	2	3	2	0	0	2	1	2	1
OG4838	1	2	1	1	2	2	2	2	2	2	2	1	1
OG4839	1	2	2	2	2	1	1	2	2	1	2	1	2
OG4840	1	1	1	1	3	2	2	2	2	2	1	1	2
OG4841	2	1	2	1	1	2	2	1	1	2	2	2	2
OG4842	1	2	2	1	2	1	1	1	2	2	2	2	2
OG4843	2	2	2	2	2	1	1	1	1	1	2	2	2
OG4844	1	3	2	1	2	4	1	3	0	0	1	2	1
OG4845	2	2	2	1	2	2	1	1	2	2	2	0	2
OG4846	2	2	2	1	2	2	1	1	2	2	2	1	1
OG4847	2	1	2	2	1	2	2	2	1	1	2	2	1
OG4848	2	2	1	2	2	1	1	2	2	1	1	2	2
OG4849	3	2	1	2	3	2	2	1	0	2	1	1	1
OG4850	2	2	2	0	1	2	2	1	1	2	2	2	2
OG4851	2	2	2	2	1	2	2	0	2	1	1	2	2
OG4852	1	2	2	2	1	2	1	2	1	2	2	1	2
OG4853	2	5	4	1	2	1	0	1	0	2	1	1	1
OG4854	2	6	2	1	2	1	1	1	1	1	1	1	1
OG4855	1	1	2	2	2	2	2	2	1	1	2	1	2
OG4856	2	2	0	0	2	3	4	1	3	1	0	3	0
OG4857	1	1	2	0	2	2	2	1	3	2	1	2	2
OG4858	3	2	1	1	1	2	3	1	1	2	1	2	1
OG4859	1	1	2	1	2	2	2	2	2	1	2	2	1
OG4860	2	2	1	1	2	3	2	2	1	1	1	2	1
OG4861	2	2	2	1	1	2	2	2	2	1	2	2	0
OG4862	2	2	2	2	1	2	2	1	1	0	2	2	2
OG4863	2	2	2	1	2	2	2	2	1	0	1	2	2
OG4864	2	2	2	1	2	2	1	2	2	0	2	2	1
OG4865	2	1	2	1	2	1	2	2	1	2	0	2	3
OG4866	2	2	1	1	1	2	2	2	2	1	2	2	1
OG4867	2	2	1	2	2	2	2	1	2	1	1	2	1
OG4868	2	2	4	1	2	2	2	1	0	0	1	2	2
OG4869	1	2	1	2	3	2	1	2	0	3	1	2	1
OG4870	2	2	2	0	2	2	2	2	1	2	1	2	1
OG4871	2	2	2	1	3	2	2	1	0	2	0	2	2
OG4872	2	3	2	1	1	2	2	1	2	1	1	2	1
OG4873	2	3	2	0	3	3	3	1	0	1	0	2	1
OG4874	2	4	1	2	1	2	2	1	1	1	1	2	1
OG4875	2	2	2	1	2	2	2	2	2	0	2	1	1
OG4876	2	2	1	4	2	2	2	1	0	1	3	1	0
OG4877	2	2	2	2	2	2	2	1	1	0	2	2	1
OG4878	2	2	2	1	1	2	2	2	0	2	2	2	1
OG4879	2	1	2	1	2	2	2	1	1	2	2	2	1
OG4880	2	5	0	0	1	2	2	2	1	1	2	2	1
OG4881	2	2	2	2	1	1	1	2	2	1	2	1	2
OG4882	2	4	1	0	2	2	1	3	1	1	1	1	2
OG4883	2	3	1	1	1	4	3	1	4	0	1	0	0
OG4884	2	2	4	1	2	1	2	1	1	1	2	2	0
OG4885	1	2	1	1	2	2	2	1	2	1	2	2	2
OG4886	2	2	2	2	2	2	2	0	2	1	0	2	2
OG4887	2	1	2	2	2	1	2	2	2	1	2	1	1
OG4888	1	2	1	2	2	1	1	3	0	2	2	2	2
OG4889	2	1	1	2	2	2	2	1	2	1	1	2	2
OG4890	1	1	3	1	3	2	1	1	1	1	2	3	1
OG4891	1	1	2	1	2	2	2	1	2	1	2	2	2
OG4892	2	2	2	1	2	2	1	2	2	1	2	1	1
OG4893	2	2	2	2	1	2	2	1	2	0	2	1	2
OG4894	2	2	2	2	1	2	2	1	0	1	2	2	2
OG4895	2	3	0	1	1	2	2	3	2	1	1	2	1
OG4896	2	2	1	2	2	2	2	1	1	1	2	2	1
OG4897	2	2	2	2	1	2	2	0	1	2	1	2	2
OG4898	2	2	2	2	1	2	2	2	0	2	0	2	2
OG4899	1	2	2	2	2	2	2	1	2	1	1	1	2
OG4900	1	2	2	1	1	2	2	2	2	0	2	2	2
OG4901	2	3	2	0	2	2	2	2	0	1	2	1	2
OG4902	3	2	2	0	1	2	2	1	1	3	1	2	1
OG4903	2	1	1	2	1	1	2	1	2	2	2	2	2
OG4904	2	2	2	1	2	2	2	2	2	0	2	1	1
OG4905	2	2	2	1	2	2	2	1	0	1	2	2	2
OG4906	2	2	2	2	1	2	1	2	2	0	1	2	2
OG4907	1	1	1	1	2	2	1	2	1	1	5	2	1
OG4908	1	4	1	1	4	2	1	2	2	1	1	1	0
OG4909	2	2	2	2	2	1	2	2	1	0	1	2	2
OG4910	2	3	2	1	1	2	1	2	2	0	2	1	2
OG4911	2	2	2	1	2	1	1	2	1	2	2	1	2
OG4912	1	3	2	1	2	2	2	1	1	1	2	2	1
OG4913	2	1	2	1	2	2	1	2	2	1	2	1	2
OG4914	4	2	2	0	2	2	2	2	1	1	2	1	0
OG4915	2	2	2	1	2	1	1	2	1	1	2	2	2
OG4916	1	1	1	2	3	1	2	2	2	1	2	1	2
OG4917	2	2	3	2	2	2	2	1	0	0	2	2	1
OG4918	3	1	3	1	2	1	2	2	0	2	1	2	1
OG4919	2	5	2	0	1	1	1	2	1	2	2	1	1
OG4920	1	5	2	0	1	1	1	4	0	2	1	3	0
OG4921	1	1	2	1	2	2	1	2	2	1	2	2	2
OG4922	2	2	2	1	1	2	2	1	1	1	2	2	2
OG4923	1	2	1	2	3	1	2	2	2	1	1	1	2
OG4924	2	1	2	1	2	2	2	2	1	2	2	1	1
OG4925	3	5	0	1	0	3	3	2	0	1	1	1	1
OG4926	2	2	2	1	1	2	2	2	2	1	1	2	1
OG4927	2	3	2	1	1	2	2	1	3	0	2	1	1
OG4928	2	2	1	1	2	2	2	1	2	1	2	2	1
OG4929	1	2	2	2	2	1	2	2	2	0	2	2	1
OG4930	1	4	3	2	2	3	0	2	0	1	2	1	0
OG4931	2	2	2	1	2	2	2	1	1	0	2	2	2
OG4932	1	2	2	0	1	3	2	2	1	1	1	3	2
OG4933	2	2	2	1	2	1	2	1	1	1	1	2	3
OG4934	2	2	2	1	2	1	1	2	2	2	2	2	0
OG4935	1	4	2	1	2	1	2	0	2	1	2	2	1
OG4936	2	1	3	1	2	2	2	2	1	1	2	2	0
OG4937	1	2	2	2	2	1	1	2	2	1	2	1	2
OG4938	2	1	1	4	1	1	1	1	2	1	2	1	3
OG4939	1	1	3	1	3	1	1	3	1	2	2	1	1
OG4940	1	1	2	2	3	2	2	2	0	0	3	1	2
OG4941	1	8	1	1	0	1	0	2	1	0	1	2	3
OG4942	1	3	1	1	2	2	2	3	1	1	2	1	1
OG4943	2	2	2	1	2	2	2	1	2	0	1	2	2
OG4944	2	2	1	1	2	2	2	1	0	2	3	2	1
OG4945	2	2	2	0	2	2	1	2	2	1	2	1	2
OG4946	2	1	1	0	3	4	3	1	0	1	2	2	1
OG4947	1	2	2	1	2	2	2	2	2	2	1	1	1
OG4948	2	2	4	1	1	1	2	2	0	2	1	1	2
OG4949	2	2	2	1	1	3	2	1	1	1	1	2	2
OG4950	1	1	2	1	1	2	3	1	2	1	2	2	2
OG4951	2	2	2	1	2	2	1	1	2	2	2	1	1
OG4952	2	2	2	1	1	2	2	2	2	1	2	1	1
OG4953	2	1	2	2	2	2	2	1	1	1	1	2	2
OG4954	2	1	2	2	1	2	2	2	2	1	1	2	1
OG4955	1	2	2	1	2	2	1	1	2	2	2	2	1
OG4956	1	2	1	2	2	1	2	2	2	1	2	1	2
OG4957	2	2	2	1	1	2	2	2	0	2	1	2	2
OG4958	1	1	4	1	2	2	1	1	2	1	1	1	3
OG4959	1	2	2	1	2	3	2	1	2	0	2	2	1
OG4960	2	1	2	2	2	2	2	2	0	1	1	2	2
OG4961	2	2	2	1	2	1	2	1	2	1	2	2	1
OG4962	1	2	2	2	1	2	2	1	1	2	1	2	2
OG4963	1	2	2	2	1	1	2	2	2	1	2	2	1
OG4964	2	2	2	1	2	2	1	2	2	0	2	2	1
OG4965	2	2	2	2	2	2	2	2	0	0	2	2	1
OG4966	1	0	2	3	2	1	3	2	2	1	1	2	1
OG4967	1	2	2	1	1	2	3	1	1	1	1	3	2
OG4968	1	2	2	1	2	2	2	2	1	0	2	2	2
OG4969	2	2	1	2	2	2	2	2	1	1	1	2	1
OG4970	2	2	2	2	2	2	1	2	1	1	1	2	1
OG4971	1	1	3	1	2	4	2	1	1	0	1	2	2
OG4972	2	1	2	0	1	2	3	3	1	2	2	1	1
OG4973	2	6	1	1	1	1	1	1	0	2	1	2	2
OG4974	1	2	2	2	2	2	2	1	0	2	1	2	2
OG4975	1	2	2	1	1	2	2	1	2	2	1	2	2
OG4976	1	5	1	0	2	2	2	1	0	1	1	4	1
OG4977	1	1	3	2	3	2	2	2	1	0	1	2	1
OG4978	1	1	2	2	2	2	2	1	2	1	2	2	1
OG4979	1	2	2	0	2	2	2	2	2	2	2	1	1
OG4980	1	1	2	2	2	2	1	1	2	1	2	2	2
OG4981	1	2	4	1	1	1	2	1	1	2	1	3	1
OG4982	0	2	2	2	2	2	2	1	2	1	2	2	1
OG4983	0	0	1	1	3	2	2	4	1	1	4	0	2
OG4984	0	0	0	2	2	1	2	1	3	0	3	3	4
OG4985	2	1	2	2	2	1	1	1	1	2	2	2	1
OG4986	1	2	2	2	2	1	1	2	2	2	0	1	2
OG4987	3	3	3	1	2	2	2	1	1	0	1	1	0
OG4988	2	1	2	2	1	1	1	2	2	2	1	1	2
OG4989	1	2	2	1	2	2	2	2	1	1	2	1	1
OG4990	2	1	1	1	1	1	1	2	2	2	2	2	2
OG4991	1	2	2	0	2	1	1	2	3	1	2	2	1
OG4992	2	2	1	1	2	1	1	2	2	1	2	1	2
OG4993	2	2	1	1	1	1	1	2	2	1	2	2	2
OG4994	3	2	0	1	1	2	2	1	3	2	1	1	1
OG4995	2	2	2	1	0	2	2	1	2	2	1	2	1
OG4996	2	2	2	2	1	1	2	1	2	0	1	2	2
OG4997	2	2	2	1	2	2	2	2	0	0	2	2	1
OG4998	2	2	1	1	2	2	2	0	1	1	2	4	0
OG4999	2	2	2	1	1	1	1	1	2	2	2	2	1
OG5000	2	2	1	2	1	2	2	2	0	2	2	1	1
OG5001	2	2	1	1	2	1	1	2	1	1	2	2	2
OG5002	2	2	2	1	1	2	2	2	2	1	1	2	0
OG5003	2	1	1	2	1	1	2	1	2	2	2	1	2
OG5004	2	1	2	0	2	2	2	2	2	1	1	1	2
OG5005	2	1	2	1	2	2	2	2	1	1	2	2	0
OG5006	2	1	1	1	2	2	2	2	0	1	2	2	2
OG5007	2	1	1	1	2	2	1	1	2	2	2	1	2
OG5008	2	2	2	1	2	2	2	1	1	0	2	2	1
OG5009	3	2	2	1	3	2	2	0	0	0	1	2	2
OG5010	2	2	2	2	2	2	2	0	1	1	0	2	2
OG5011	1	1	3	1	2	2	4	2	0	0	1	1	2
OG5012	1	2	2	1	2	2	2	2	2	0	2	2	0
OG5013	2	2	2	0	2	2	1	2	1	2	2	1	1
OG5014	1	2	2	1	1	2	2	2	1	2	0	2	2
OG5015	2	1	1	2	1	2	2	1	2	2	1	2	1
OG5016	1	3	1	1	2	1	2	2	1	0	2	2	2
OG5017	1	2	2	1	1	1	1	3	2	0	4	1	1
OG5018	1	2	1	2	2	2	1	2	2	1	2	1	1
OG5019	2	2	1	2	2	2	2	0	2	1	1	2	1
OG5020	1	2	2	1	1	2	2	1	2	2	1	1	2
OG5021	2	2	2	1	1	2	2	2	1	0	1	2	2
OG5022	3	2	1	0	1	3	3	1	1	2	1	2	0
OG5023	1	1	2	1	2	1	2	1	2	2	1	2	2
OG5024	2	1	2	1	2	1	2	1	2	1	2	2	1
OG5025	2	2	2	1	2	1	1	2	0	1	2	2	2
OG5026	3	2	1	2	3	1	1	1	1	0	1	3	1
OG5027	2	2	2	1	2	2	2	2	1	2	1	1	0
OG5028	2	2	2	1	1	1	2	1	2	2	1	2	1
OG5029	2	1	2	1	1	1	1	2	2	1	2	2	2
OG5030	1	3	2	1	1	2	1	0	1	2	2	2	2
OG5031	2	2	2	0	2	2	1	1	0	2	3	2	1
OG5032	2	2	3	2	1	2	2	0	0	2	0	2	2
OG5033	2	2	2	1	1	2	2	1	2	1	1	1	2
OG5034	2	2	2	1	2	2	1	2	1	0	2	1	2
OG5035	2	2	2	1	1	2	2	1	0	1	2	2	2
OG5036	3	2	2	1	1	1	1	2	1	0	1	3	2
OG5037	1	2	2	1	2	2	1	2	1	2	2	1	1
OG5038	2	2	2	1	1	2	2	1	1	1	2	1	2
OG5039	2	1	2	1	1	1	2	2	2	1	2	1	2
OG5040	2	3	2	1	1	1	2	2	1	1	1	1	2
OG5041	2	1	2	1	1	2	1	2	1	2	2	1	2
OG5042	2	1	1	0	1	2	2	1	2	2	2	2	2
OG5043	2	2	1	0	2	2	1	2	2	2	2	1	1
OG5044	2	2	2	0	2	2	2	2	1	0	1	2	2
OG5045	1	2	2	0	1	2	2	2	2	1	2	2	1
OG5046	2	2	2	1	2	2	1	1	2	1	2	1	1
OG5047	2	2	2	0	1	2	2	2	0	2	2	2	1
OG5048	2	1	2	1	2	2	2	1	1	2	2	1	1
OG5049	1	3	1	1	2	3	2	1	2	2	0	0	2
OG5050	2	2	2	1	2	1	1	2	2	1	1	2	1
OG5051	2	2	2	1	2	1	1	2	2	1	1	2	1
OG5052	2	3	2	0	1	2	2	2	1	1	1	2	1
OG5053	2	1	2	2	2	1	1	1	3	1	0	2	2
OG5054	2	3	2	3	2	1	1	0	0	0	4	1	1
OG5055	2	1	2	1	1	2	2	1	2	2	2	2	0
OG5056	3	2	3	1	1	1	1	1	0	0	2	3	2
OG5057	2	2	1	2	2	1	2	2	1	1	1	2	1
OG5058	2	2	2	1	1	2	2	1	0	2	1	2	2
OG5059	1	4	1	1	1	3	2	1	1	1	1	2	1
OG5060	2	2	2	0	2	2	2	1	1	1	1	2	2
OG5061	1	2	2	1	1	2	1	2	1	2	2	2	1
OG5062	1	3	2	1	2	1	2	1	2	1	2	1	1
OG5063	3	1	2	1	1	2	2	1	1	1	1	2	2
OG5064	1	1	2	0	1	1	2	2	2	2	2	2	2
OG5065	1	2	1	1	2	2	1	2	2	1	2	2	1
OG5066	1	2	2	2	2	2	1	1	2	1	2	1	1
OG5067	3	3	2	1	1	2	1	2	1	1	0	1	2
OG5068	2	1	1	1	2	2	1	2	3	0	1	1	3
OG5069	2	2	2	2	1	2	2	2	0	1	1	2	1
OG5070	2	2	2	2	2	2	2	1	0	1	1	2	1
OG5071	2	2	2	1	3	2	1	2	1	1	1	1	1
OG5072	2	2	2	1	1	2	2	2	0	1	2	1	2
OG5073	1	2	2	2	1	2	2	2	1	1	2	2	0
OG5074	2	2	2	1	1	2	2	1	2	0	2	1	2
OG5075	2	2	1	0	1	1	1	1	0	5	4	1	1
OG5076	1	1	1	2	4	1	1	1	4	0	0	2	2
OG5077	2	1	2	1	1	1	2	1	2	2	2	1	2
OG5078	2	2	2	0	2	1	2	1	2	1	2	1	2
OG5079	2	2	2	2	1	1	2	1	2	1	1	1	2
OG5080	2	4	1	1	1	2	2	0	2	1	2	1	1
OG5081	1	1	2	2	2	1	2	2	1	1	1	2	2
OG5082	3	1	2	2	2	1	2	2	0	1	2	1	1
OG5083	1	1	1	2	2	1	2	2	1	2	2	1	2
OG5084	3	2	0	1	3	2	3	0	0	0	3	3	0
OG5085	3	2	1	1	0	3	2	1	0	2	1	2	2
OG5086	2	2	2	3	2	0	0	2	1	1	2	2	1
OG5087	3	4	2	0	2	3	1	1	0	0	1	2	1
OG5088	2	1	1	2	2	2	2	1	2	1	1	2	1
OG5089	3	2	2	1	2	2	2	0	0	2	0	2	2
OG5090	2	2	2	0	2	1	1	1	1	2	2	2	2
OG5091	1	4	4	0	2	2	1	1	2	1	2	0	0
OG5092	2	2	2	2	2	1	1	2	1	0	2	1	2
OG5093	2	2	1	1	2	2	2	2	1	1	2	1	1
OG5094	1	2	2	1	2	1	1	2	1	1	2	2	2
OG5095	2	2	2	2	1	2	2	1	2	1	1	1	1
OG5096	2	1	0	1	2	1	2	2	4	0	3	0	2
OG5097	1	2	2	0	2	2	2	2	1	1	2	1	2
OG5098	1	1	1	2	2	2	1	3	2	1	2	1	1
OG5099	3	3	1	2	2	0	1	2	2	1	1	1	1
OG5100	2	2	2	1	2	1	1	2	0	1	2	2	2
OG5101	2	3	1	1	1	2	2	1	1	2	1	2	1
OG5102	1	1	2	2	1	2	2	1	2	2	1	1	2
OG5103	1	1	4	1	1	1	1	3	1	1	2	1	2
OG5104	2	2	2	1	1	2	2	1	0	1	2	2	2
OG5105	3	2	3	1	1	2	1	1	0	1	2	2	1
OG5106	1	1	2	1	2	2	2	1	1	2	2	2	1
OG5107	2	2	2	0	2	1	1	1	2	1	2	2	2
OG5108	2	1	1	1	3	2	2	3	1	0	2	2	0
OG5109	2	3	1	1	3	1	2	2	0	2	2	1	0
OG5110	1	2	2	1	1	1	2	1	1	2	2	2	2
OG5111	2	2	2	2	2	2	2	1	0	0	2	1	2
OG5112	2	5	2	1	0	2	1	1	0	1	2	2	1
OG5113	2	2	2	0	2	2	2	1	0	2	2	2	1
OG5114	2	2	2	2	1	1	2	1	0	2	1	2	2
OG5115	2	2	1	0	2	2	1	2	1	1	2	1	3
OG5116	2	1	3	1	2	2	2	2	0	0	2	1	2
OG5117	2	2	2	2	2	2	2	1	0	2	2	1	0
OG5118	2	4	4	0	3	1	1	1	0	0	1	2	1
OG5119	1	7	3	1	1	0	1	1	1	1	1	1	1
OG5120	3	2	0	3	2	2	2	0	1	2	0	3	0
OG5121	2	1	2	1	1	2	2	1	2	1	1	2	2
OG5122	2	2	2	2	1	2	2	1	0	1	1	2	2
OG5123	2	3	1	1	3	1	1	1	1	2	2	1	1
OG5124	2	3	1	1	1	1	1	2	2	1	2	2	1
OG5125	2	1	1	2	2	2	1	2	2	1	2	1	1
OG5126	2	1	2	1	2	1	1	2	1	2	2	1	2
OG5127	2	2	2	1	2	2	2	1	0	2	2	0	2
OG5128	1	1	2	2	2	1	1	2	1	2	2	1	2
OG5129	2	1	1	3	2	1	2	1	0	2	1	2	2
OG5130	1	2	2	1	1	2	2	2	2	1	2	1	1
OG5131	1	5	1	0	1	2	1	2	1	1	2	1	2
OG5132	2	1	2	0	1	2	2	0	1	2	3	2	2
OG5133	2	2	2	1	2	1	2	2	0	2	2	1	1
OG5134	1	2	2	1	2	2	2	2	2	0	2	1	1
OG5135	2	1	1	0	1	2	2	3	2	2	2	1	1
OG5136	2	2	1	2	2	2	2	1	0	2	1	2	1
OG5137	2	2	2	1	2	2	1	0	2	2	0	2	2
OG5138	1	1	2	1	2	2	2	3	1	0	2	1	2
OG5139	3	4	1	1	3	1	2	1	0	0	1	1	2
OG5140	1	1	2	1	1	1	1	2	2	2	2	2	2
OG5141	1	2	2	2	2	1	1	2	2	0	2	1	2
OG5142	2	2	2	2	1	2	2	0	2	1	0	2	2
OG5143	2	2	2	1	2	2	2	2	0	1	1	2	1
OG5144	2	1	2	2	1	2	2	1	1	1	1	2	2
OG5145	2	2	2	1	2	1	1	2	1	1	1	2	2
OG5146	1	3	2	1	3	1	1	2	1	1	1	2	1
OG5147	2	1	1	2	2	1	2	2	2	1	2	1	1
OG5148	2	2	2	2	1	2	2	1	2	0	1	2	1
OG5149	2	3	2	1	1	2	2	1	1	1	1	2	1
OG5150	2	2	2	1	2	2	2	1	0	1	1	2	2
OG5151	2	2	2	2	1	1	2	1	0	2	1	2	2
