	D1	D10	D11	D21	D22	D3D	D3K	D4	D5	D6	D7	D8	D9
OG106	6	20	11	3	3	7	4	2	1	10	2	8	3
OG107	8	14	5	2	8	9	9	4	1	5	5	8	1
OG108	7	7	8	2	6	7	7	2	2	9	5	10	7
OG109	5	8	8	5	7	7	6	7	5	3	8	2	8
OG110	6	6	6	6	5	6	6	7	6	5	6	7	5
OG111	5	7	7	5	6	8	6	7	3	5	6	6	6
OG112	6	10	9	3	9	7	5	5	0	6	3	9	5
OG113	7	7	6	6	5	6	6	5	7	5	5	6	6
OG114	6	5	5	7	6	7	7	5	6	5	7	6	5
OG115	7	6	7	5	7	7	7	6	3	4	6	7	5
OG116	10	10	7	6	6	4	6	3	2	5	4	8	5
OG117	7	10	7	2	8	7	6	3	2	6	7	6	5
OG118	9	7	10	2	6	7	6	6	0	6	6	6	4
OG119	8	20	4	3	3	6	8	1	1	6	5	8	2
OG120	6	5	6	6	7	5	5	9	5	2	7	6	6
OG121	6	7	6	6	5	6	6	7	4	3	6	7	5
OG122	4	30	5	0	6	5	4	3	1	4	4	5	3
OG123	8	6	6	4	8	6	4	6	5	4	8	6	2
OG124	6	7	7	4	7	6	5	7	2	6	6	5	5
OG125	5	15	3	2	5	10	10	4	3	3	2	8	3
OG126	6	5	7	4	6	6	6	7	4	3	7	6	6
OG127	5	9	5	2	8	8	5	6	4	5	7	5	4
OG128	6	6	6	5	6	6	6	5	5	6	4	6	6
OG129	9	20	8	0	3	9	8	2	0	5	2	6	1
OG130	7	10	6	2	7	6	7	6	3	5	2	6	6
OG131	9	21	11	0	3	8	5	1	0	1	1	11	1
OG132	3	8	7	3	10	6	7	7	3	4	4	4	6
OG133	6	13	6	3	3	8	3	6	1	7	7	6	3
OG134	10	7	6	3	2	7	9	3	0	7	8	7	2
OG135	7	7	8	6	3	8	7	4	4	3	3	7	4
OG136	6	7	7	6	4	6	7	5	4	4	5	6	4
OG137	6	6	6	4	4	6	7	5	4	6	6	6	5
OG138	9	5	7	5	4	7	7	6	3	2	6	6	4
OG139	8	9	5	0	3	8	5	4	4	7	9	6	3
OG140	7	9	6	4	4	8	9	5	1	6	3	6	3
OG141	5	6	6	2	7	7	4	7	3	4	7	8	5
OG142	6	6	6	5	6	6	7	5	5	2	5	6	5
OG143	5	8	8	3	7	7	6	3	3	4	6	7	3
OG144	4	6	5	5	7	6	5	5	6	3	7	7	4
OG145	5	6	6	3	7	6	6	4	5	5	5	6	6
OG146	5	6	6	5	6	6	5	5	4	6	4	6	6
OG147	2	29	6	0	1	11	8	1	0	4	2	4	2
OG148	6	12	9	3	3	5	7	7	3	3	4	5	2
